# Speaker Information--------------------------------------------------------------------------------------------------------------------------------
Name: _
Age: 30
Sex: M
Date: 2022-09-10 08:55:45.499885

# Classification Information-------------------------------------------------------------------------------------------------------------------------
Experiment: train-101M102M104M_test-103M
Data: small-subset

# Modelparameters------------------------------------------------------------------------------------------------------------------------------------
classifier    num-estimators    criterion    max_depth    max_features    min_samples_split    min_samples_leaf
         1               100         gini           20            sqrt                   10                   5
         2               100         gini           20            sqrt                   10                   5
         3               100         gini           20            sqrt                   10                   5
         4               100         gini           20            sqrt                   10                   5
         5               100         gini           20            sqrt                   10                   5
         6               100         gini           20            sqrt                   10                   5
         7               100         gini           20            sqrt                   10                   5
         8               100         gini           20            sqrt                   10                   5

# Results--------------------------------------------------------------------------------------------------------------------------------------------
class 0-vs-i    mean-accuracy    recall    precison    f1-score
           1             0.50      0.91        0.52        0.66
           2             0.44      0.80        0.47        0.59
           3             0.42      0.65        0.46        0.54
           4             0.29      0.15        0.21        0.18
           5             0.42      0.26        0.38        0.31
           6             0.46      0.63        0.47        0.54
           7             0.38      0.35        0.44        0.39
           8             0.40      0.18        0.33        0.23

# Feature Importances--------------------------------------------------------------------------------------------------------------------------------
feature-name                                          block 10_20    block 20_30    block 30_40    block 40_50    block 50_60    block 60_70    block 70_80    block 80_90    
F0semitoneFrom27.5Hz_sma3nz_amean                          0.0088         0.0058          0.017          0.024          0.016          0.019          0.024          0.023    
F0semitoneFrom27.5Hz_sma3nz_stddevNorm                     0.0083          0.011         0.0056         0.0063         0.0056           0.01         0.0061         0.0048    
F0semitoneFrom27.5Hz_sma3nz_percentile20.0                  0.015          0.013         0.0099          0.011          0.017          0.024          0.022          0.023    
F0semitoneFrom27.5Hz_sma3nz_percentile50.0                 0.0071          0.012          0.024          0.023          0.012          0.018           0.03           0.02    
F0semitoneFrom27.5Hz_sma3nz_percentile80.0                  0.009         0.0076          0.008           0.02          0.012          0.013          0.015         0.0082    
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2                   0.0059         0.0097         0.0091         0.0077         0.0061           0.01         0.0048         0.0039    
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope                0.0085         0.0093         0.0049         0.0049         0.0062         0.0052         0.0045         0.0047    
F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope              0.0072         0.0049         0.0041         0.0051         0.0063         0.0044         0.0069         0.0043    
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope                0.012         0.0071         0.0058         0.0073         0.0038         0.0079          0.007          0.003    
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope              0.019         0.0055         0.0083         0.0043         0.0036         0.0056         0.0037         0.0034    
loudness_sma3_amean                                         0.011         0.0093          0.013         0.0067          0.012         0.0087          0.012          0.012    
loudness_sma3_stddevNorm                                    0.012          0.011          0.015         0.0095          0.012         0.0098           0.01         0.0062    
loudness_sma3_percentile20.0                               0.0086          0.011         0.0077         0.0063         0.0084         0.0069         0.0078         0.0073    
loudness_sma3_percentile50.0                                 0.01          0.009          0.012         0.0082          0.012         0.0096          0.011          0.012    
loudness_sma3_percentile80.0                                 0.01          0.015          0.014         0.0099         0.0088         0.0048           0.01          0.012    
loudness_sma3_pctlrange0-2                                 0.0078          0.012          0.013         0.0087         0.0091         0.0086          0.007         0.0087    
loudness_sma3_meanRisingSlope                               0.008         0.0091          0.011         0.0088         0.0091          0.011         0.0089          0.013    
loudness_sma3_stddevRisingSlope                            0.0079         0.0057          0.008          0.012          0.014          0.013          0.013          0.012    
loudness_sma3_meanFallingSlope                              0.011          0.015          0.011          0.014          0.012          0.011          0.013          0.015    
loudness_sma3_stddevFallingSlope                           0.0097         0.0083         0.0072         0.0079         0.0072         0.0089         0.0078         0.0067    
spectralFlux_sma3_amean                                      0.02          0.021          0.021          0.033          0.023          0.023          0.026          0.029    
spectralFlux_sma3_stddevNorm                                0.014          0.012          0.016          0.022          0.016          0.011          0.011           0.01    
mfcc1_sma3_amean                                           0.0067         0.0067         0.0091          0.014         0.0086          0.008          0.015         0.0041    
mfcc1_sma3_stddevNorm                                      0.0081         0.0085         0.0057         0.0067         0.0059         0.0051          0.008          0.006    
mfcc2_sma3_amean                                             0.02         0.0077          0.023          0.018           0.02          0.018          0.017          0.021    
mfcc2_sma3_stddevNorm                                       0.011          0.011          0.012          0.012           0.01          0.012          0.015          0.011    
mfcc3_sma3_amean                                            0.011         0.0095         0.0073           0.02           0.01           0.01         0.0092         0.0075    
mfcc3_sma3_stddevNorm                                      0.0099          0.013         0.0081         0.0097         0.0048         0.0072         0.0043         0.0085    
mfcc4_sma3_amean                                             0.01         0.0084          0.013         0.0086           0.01         0.0069          0.011          0.012    
mfcc4_sma3_stddevNorm                                      0.0052         0.0075         0.0056         0.0055         0.0092          0.007         0.0056           0.01    
jitterLocal_sma3nz_amean                                   0.0077          0.008         0.0067         0.0045         0.0041         0.0027         0.0064         0.0039    
jitterLocal_sma3nz_stddevNorm                              0.0081           0.01         0.0065          0.006         0.0054         0.0059          0.005         0.0057    
shimmerLocaldB_sma3nz_amean                                0.0093         0.0074         0.0071         0.0058         0.0075          0.012         0.0072         0.0042    
shimmerLocaldB_sma3nz_stddevNorm                             0.01           0.01         0.0064         0.0083          0.016         0.0038         0.0048         0.0062    
