# Speaker Information--------------------------------------------------------------------------------------------------------------------------------
Name: _
Age: 30
Sex: M
Date: 2022-09-10 09:17:09.219372

# Classification Information-------------------------------------------------------------------------------------------------------------------------
Experiment: train-101M102M103M104M110Mrec2_test-110Mrec1
Data: small-subset

# Modelparameters------------------------------------------------------------------------------------------------------------------------------------
classifier    num-estimators    criterion    max_depth    max_features    min_samples_split    min_samples_leaf
         1               100         gini           20            sqrt                   10                   5
         2               100         gini           20            sqrt                   10                   5
         3               100         gini           20            sqrt                   10                   5
         4               100         gini           20            sqrt                   10                   5
         5               100         gini           20            sqrt                   10                   5
         6               100         gini           20            sqrt                   10                   5
         7               100         gini           20            sqrt                   10                   5
         8               100         gini           20            sqrt                   10                   5

# Results--------------------------------------------------------------------------------------------------------------------------------------------
class 0-vs-i    mean-accuracy    recall    precison    f1-score
           1             0.57      0.61        0.64        0.62
           2             0.74      0.79        0.77        0.78
           3             0.58      0.51        0.71        0.59
           4             0.67      0.70        0.74        0.72
           5             0.63      0.50        0.81        0.62
           6             0.76      0.78        0.82        0.80
           7             0.52      0.60        0.60        0.60
           8             0.65      0.58        0.79        0.67

# Feature Importances--------------------------------------------------------------------------------------------------------------------------------
feature-name                                          block 10_20    block 20_30    block 30_40    block 40_50    block 50_60    block 60_70    block 70_80    block 80_90    
F0semitoneFrom27.5Hz_sma3nz_amean                          0.0082         0.0053          0.021          0.019           0.02           0.02          0.013          0.013    
F0semitoneFrom27.5Hz_sma3nz_stddevNorm                     0.0084          0.011         0.0096         0.0073         0.0078         0.0099          0.013         0.0074    
F0semitoneFrom27.5Hz_sma3nz_percentile20.0                  0.011          0.012          0.015          0.016          0.014          0.022          0.027          0.025    
F0semitoneFrom27.5Hz_sma3nz_percentile50.0                  0.011         0.0068          0.017          0.012          0.011          0.011          0.013          0.011    
F0semitoneFrom27.5Hz_sma3nz_percentile80.0                   0.01         0.0098         0.0098          0.015         0.0079         0.0086          0.013          0.011    
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2                    0.009          0.011           0.01          0.015          0.013          0.015          0.024          0.016    
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope                 0.012         0.0084         0.0075         0.0072         0.0049         0.0082         0.0091         0.0085    
F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope               0.016         0.0087         0.0087         0.0063         0.0066         0.0062          0.011         0.0062    
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope                0.011         0.0092           0.01         0.0088         0.0087         0.0065         0.0057          0.015    
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope              0.016         0.0095         0.0088         0.0066          0.012         0.0085          0.012         0.0064    
