# Speaker Information--------------------------------------------------------------------------------------------------------------------------------
Name: _
Age: 30
Sex: M
Date: 2022-09-10 08:38:44.475540

# Classification Information-------------------------------------------------------------------------------------------------------------------------
Experiment: train-102M_test-102M
Data: small-subset

# Modelparameters------------------------------------------------------------------------------------------------------------------------------------
classifier    num-estimators    criterion    max_depth    max_features    min_samples_split    min_samples_leaf
         1               100         gini           20            sqrt                   10                   5
         2               100         gini           20            sqrt                   10                   5
         3               100         gini           20            sqrt                   10                   5
         4               100         gini           20            sqrt                   10                   5
         5               100         gini           20            sqrt                   10                   5
         6               100         gini           20            sqrt                   10                   5
         7               100         gini           20            sqrt                   10                   5
         8               100         gini           20            sqrt                   10                   5

# Results--------------------------------------------------------------------------------------------------------------------------------------------
class 0-vs-i    mean-accuracy    recall    precison    f1-score
           1             0.59      0.68        0.57        0.62
           2             0.73      0.75        0.71        0.73
           3             0.76      0.75        0.72        0.74
           4             0.74      0.81        0.70        0.75
           5             0.77      0.67        0.80        0.73
           6             0.69      0.71        0.69        0.70
           7             0.85      0.91        0.81        0.85
           8             0.88      0.97        0.82        0.89

# Feature Importances--------------------------------------------------------------------------------------------------------------------------------
feature-name                                          block 10_20    block 20_30    block 30_40    block 40_50    block 50_60    block 60_70    block 70_80    block 80_90    
F0semitoneFrom27.5Hz_sma3nz_amean                           0.013         0.0075         0.0046         0.0088          0.019          0.016          0.022          0.014    
F0semitoneFrom27.5Hz_sma3nz_stddevNorm                     0.0045          0.029         0.0046         0.0061         0.0047         0.0034         0.0056         0.0062    
F0semitoneFrom27.5Hz_sma3nz_percentile20.0                 0.0095           0.02           0.01          0.023           0.03          0.025          0.055          0.046    
F0semitoneFrom27.5Hz_sma3nz_percentile50.0                  0.012          0.011         0.0056          0.018          0.011          0.014          0.032          0.025    
F0semitoneFrom27.5Hz_sma3nz_percentile80.0                  0.015         0.0042         0.0053          0.012         0.0083         0.0082          0.022          0.012    
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2                    0.006           0.01           0.01         0.0074         0.0052         0.0041         0.0037          0.004    
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope                 0.012         0.0077         0.0044         0.0085         0.0052          0.012         0.0018         0.0031    
F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope              0.0085         0.0095         0.0082         0.0063         0.0043         0.0047         0.0079         0.0026    
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope                0.019          0.013         0.0059         0.0083         0.0098          0.011         0.0029          0.004    
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope              0.016         0.0032         0.0097         0.0053          0.011          0.007         0.0026         0.0047    
